date,IHK,Inflasi
7/1/2017,130,0.22
8/1/2017,129.91,-0.07
9/1/2017,130.08,0.13
10/1/2017,130.09,0.01
11/1/2017,130.35,0.2
12/1/2017,131.28,0.71
1/1/2018,132.1,0.62
2/1/2018,132.32,0.17
3/1/2018,132.58,0.2
4/1/2018,132.71,0.1
5/1/2018,132.99,0.21
6/1/2018,133.77,0.59
7/1/2018,134.14,0.28
8/1/2018,134.07,-0.05
9/1/2018,133.83,-0.18
10/1/2018,134.2,0.28
11/1/2018,134.56,0.27
12/1/2018,135.39,0.62
1/1/2019,135.83,0.32
2/1/2019,135.72,-0.08
3/1/2019,135.87,0.11
4/1/2019,136.47,0.44
5/1/2019,137.4,0.68
6/1/2019,138.16,0.55
7/1/2019,138.59,0.31
8/1/2019,138.75,0.12
9/1/2019,138.37,-0.27
10/1/2019,138.4,0.02
11/1/2019,138.6,0.14
12/1/2019,139.07,0.34
1/1/2020,104.33,0.39
2/1/2020,104.62,0.28
3/1/2020,104.72,0.1
4/1/2020,104.8,0.08
5/1/2020,104.87,0.07
6/1/2020,105.06,0.18
7/1/2020,104.95,-0.1
8/1/2020,104.9,-0.05
9/1/2020,104.85,-0.05
10/1/2020,104.92,0.07
11/1/2020,105.21,0.28
12/1/2020,105.68,0.45
1/1/2021,105.95,0.26
2/1/2021,106.06,0.1
3/1/2021,106.15,0.08
4/1/2021,106.29,0.13
5/1/2021,106.63,0.32
6/1/2021,106.46,-0.16
7/1/2021,106.54,0.08

