"id","code","name","image","parent_id","slug"
"1","general","General",NULL,"0","general"
"2","ESKAN","ESKAN",NULL,"0","ESKAN"
"5","CL","CELENGAN",NULL,"0","CELENGAN"
"7","tct3","test category 3",,NULL,
"8","tct4","test category 4",,NULL,
"143","BNG","ALAT BANGUNAN",,NULL,
"144","KEB","ALAT KEBERSIHAN",,NULL,
"145","HNGR","HANGER",,"0","HANGER"
"146","ASB","ASBAK",,NULL,
"147","BOX","BOX",,NULL,
"148","DISP","DISPENSER",,NULL,
"149","KRJ","KERANJANG PLASTIK",,"0","KERANJANG-PLASTIK"
"150","SIKAT","SIKAT",,"0","SIKAT"
"151","DPR","PERALATAN DAPUR",,NULL,
"152","KANT","PERALATAN KANTOR",,NULL,
"153","MKN","PERALATAN MAKAN",,NULL,
"154","MND","PERALATAN MANDI",,NULL,
"155","KNT","PERLENGKAPAN KANTOR",,NULL,
"156","TPM","TEMPAT PENYIMPANAN MKN",,"0","TEMPAT-PENYIMPANAN-MKN"
"157","POT","POT",,NULL,
"158","RKSP","RAK SEPATU",,NULL,
"159","BTLAIR","BOTOL AIR",,"0","BOTOL-AIR"
"160","TIK","TIKAR",,NULL,
"161","BSKM","BASKOM",NULL,"0","BASKOM"
"162","BANGKU","BANGKU",NULL,"0","BANGKU"
"163","NAMPAN","NAMPAN",NULL,"0","NAMPAN"
"164","CETAKAN","CETAKAN",NULL,"0","CETAKAN"
"165","BAK/EMBER","BAK/EMBER",NULL,"0","BAK-EMBER"
"166","TEMPAT SAMPAH","TEMPAT SAMPAH",NULL,"0","TEMPAT-SAMPAH"
"167","RAK","RAK",NULL,"0","RAK"
"168","SEALWARE/TOPLES","SEALWARE/TOPLES",NULL,"0","SEALWARE-TOPLES"
"169","SEPATU","SEPATU",NULL,"0","SEPATU"
"170","BKCP","BOTOL KECAP",NULL,"0","BOTOL-KECAP"
"171","GREAT","GREAT",NULL,"0","GREAT"
"172","JEPITAN","JEPITAN",NULL,"0","JEPITAN"
"173","TC","TIMBA COR",NULL,"0","TIMBA-COR"
"174","BAK","BAK MEMBLE",NULL,"0","BAK-MEMBLE"
"175","BAKKP","BAK KUPING",NULL,"0","BAK-KUPING"
"176","BAKUSA","BAK USA",NULL,"0","BAK-USA"
"177","TKR","TIKAR",NULL,"0","TIKAR"
